experiment_name,architecture
encoder_only,encoder_only
encoder_only_market_tuples,encoder_only_market_tuples
patchtst,patchtst
pathformer,pathformer
cls_token_transformer,encoder_only
conv_transformer,conv_transformer
tcn_transformer,tcn_transformer
mae_transformer,mae_transformer
pure_rnn,pure_rnn
rnn_lstm_hybrid,rnn_lstm_hybrid
rnn_autoencoder,rnn_autoencoder
lstm_autoencoder,lstm_autoencoder
transformer_autoencoder,transformer_autoencoder
vae,vae
kmeans_baseline,kmeans_baseline
pca_kmeans_baseline,pca_kmeans_baseline
hmm_baseline,hmm_baseline
